Batch_ID,Leather_Used_kg,Cork_Used_kg,Thread_Used_m,Glue_Used_L
B038109,1.82,0.58,184.81,0.41
B038110,2.36,1.71,73.82,0.33
B038111,4.2,1.62,51.61,0.44
B038112,2.38,1.48,148.63,0.28
B038113,1.97,0.75,158.04,0.38
B038114,4.52,0.79,85.29,0.41
B038115,1.36,1.38,91.28,0.15
B038116,1.73,2.0,140.86,0.38
B038117,1.2,0.56,138.08,0.13
B038118,3.69,0.52,148.91,0.27
B038119,3.61,1.11,113.79,0.18
B038120,4.08,1.31,174.23,0.49
B038121,3.03,1.9,122.87,0.17
B038122,1.89,1.95,120.0,0.11
B038123,4.35,0.94,132.35,0.27
B038124,1.19,1.35,185.26,0.26
B038125,4.16,1.34,133.72,0.12
B038126,3.95,0.57,141.25,0.23
B038127,2.26,1.7,164.09,0.15
B038128,3.53,1.92,196.56,0.45
B038129,4.62,1.02,51.04,0.24
B038130,2.73,1.88,70.15,0.15
B038131,4.42,1.82,162.76,0.13
B038132,4.47,0.71,75.59,0.34
B038133,2.84,1.14,137.72,0.25
B038134,3.6,1.79,57.95,0.35
B038135,2.44,0.69,186.78,0.23
B038136,1.96,1.1,167.8,0.23
B038137,1.73,1.5,73.99,0.45
B038138,3.03,1.79,155.82,0.44
B038139,1.27,0.95,91.9,0.33
B038140,1.05,1.87,112.95,0.33
B038141,3.79,1.29,193.25,0.48
B038142,3.23,0.51,105.61,0.4
B038143,4.08,1.48,177.49,0.4
B038144,1.74,0.61,166.1,0.25
B038145,3.31,1.89,198.61,0.44
B038146,3.84,0.61,65.74,0.49
B038147,3.06,1.8,136.37,0.25
B038148,3.98,1.31,133.42,0.33
B038149,2.89,0.56,79.15,0.26
B038150,4.48,0.91,167.21,0.4
B038151,4.85,0.53,159.35,0.27
B038152,2.36,1.41,151.33,0.19
B038153,3.76,1.44,89.63,0.15
B038154,3.71,1.5,190.47,0.39
B038155,3.13,0.75,143.55,0.36
B038156,1.59,1.37,123.33,0.1
B038157,2.52,1.34,162.83,0.23
B038158,1.84,1.82,150.13,0.3
B038159,3.3,1.62,86.55,0.47
B038160,2.91,0.8,121.35,0.32
B038161,3.72,1.96,173.99,0.3
B038162,4.91,0.97,89.61,0.44
B038163,1.57,0.68,169.34,0.17
B038164,2.23,0.96,151.37,0.39
B038165,4.19,0.56,104.5,0.17
B038166,3.95,1.1,183.72,0.34
B038167,4.57,0.58,117.07,0.45
B038168,1.6,1.55,55.83,0.13
B038169,3.12,1.81,77.36,0.19
B038170,1.88,1.33,108.36,0.36
B038171,3.83,0.99,88.14,0.39
B038172,3.41,1.4,144.85,0.34
B038173,2.8,1.8,175.71,0.46
B038174,3.29,0.96,106.44,0.14
B038175,4.5,1.01,147.95,0.41
B038176,4.04,0.8,173.88,0.21
B038177,3.5,0.84,199.35,0.47
B038178,1.97,1.59,97.81,0.21
B038179,4.74,1.76,121.89,0.4
B038180,2.93,1.48,116.79,0.48
B038181,4.09,1.48,146.2,0.33
B038182,3.29,1.83,108.52,0.42
B038183,2.4,1.75,177.93,0.41
B038184,2.92,1.26,99.91,0.22
B038185,2.83,1.02,134.76,0.32
B038186,4.43,1.2,71.55,0.22
B038187,3.01,1.93,192.27,0.26
B038188,4.79,1.24,115.12,0.48
B038189,1.31,1.47,127.87,0.13
B038190,1.83,1.55,106.59,0.42
B038191,1.06,0.52,132.22,0.35
B038192,3.64,0.8,183.45,0.22
B038193,4.74,1.99,117.79,0.18
B038194,2.48,0.84,92.5,0.12
B038195,4.85,1.14,127.27,0.35
B038196,2.66,0.56,181.01,0.47
B038197,1.99,1.5,136.97,0.2
B038198,1.39,0.87,185.83,0.25
B038199,1.48,1.25,179.09,0.36
B038200,2.45,0.7,142.36,0.31
B038201,3.39,1.31,67.38,0.36
B038202,1.46,1.09,168.41,0.38
B038203,2.46,1.55,71.23,0.4
B038204,4.68,1.85,90.57,0.23
B038205,3.36,0.6,135.62,0.39
B038206,3.18,1.18,75.32,0.13
B038207,4.73,1.79,178.46,0.12
B038208,4.68,0.93,177.66,0.46
B038209,4.69,0.69,134.47,0.24
B038210,2.43,0.59,105.35,0.26
B038211,1.79,1.02,127.65,0.3
B038212,3.36,1.79,91.56,0.1
B038213,4.01,0.76,104.53,0.28
B038214,1.03,0.96,168.43,0.43
B038215,2.83,0.87,199.71,0.48
B038216,1.59,0.51,143.07,0.31
B038217,3.97,1.26,145.44,0.32
B038218,3.21,1.15,73.43,0.43
B038219,4.12,0.76,143.09,0.2
B038220,1.27,0.58,151.2,0.36
B038221,2.01,1.91,53.42,0.14
B038222,2.28,1.61,147.98,0.35
B038223,4.39,0.67,115.74,0.47
B038224,3.29,1.12,156.42,0.46
B038225,1.46,1.88,96.68,0.33
B038226,4.07,0.94,131.61,0.32
B038227,4.06,1.7,74.49,0.31
B038228,3.87,0.56,140.95,0.11
B038229,2.3,0.51,168.62,0.44
B038230,4.84,1.69,96.62,0.13
B038231,1.74,1.86,157.61,0.39
B038232,2.6,1.64,93.47,0.24
B038233,1.35,1.55,167.07,0.23
B038234,2.85,1.07,56.65,0.27
B038235,1.9,0.72,177.78,0.32
B038236,1.94,1.51,181.19,0.1
B038237,1.14,0.92,52.41,0.27
B038238,2.22,1.84,168.95,0.14
B038239,3.47,0.85,157.09,0.34
B038240,4.24,1.82,114.25,0.13
B038241,1.82,1.08,188.28,0.28
B038242,4.45,0.96,197.76,0.42
B038243,2.38,1.16,60.43,0.19
B038244,1.84,1.44,147.31,0.2
B038245,4.62,1.22,86.58,0.19
B038246,1.2,0.54,176.69,0.46
B038247,3.87,0.7,145.71,0.24
B038248,1.76,0.84,171.97,0.43
B038249,4.39,1.02,143.81,0.18
B038250,3.73,1.06,52.23,0.35
B038251,1.4,1.83,133.3,0.23
B038252,1.01,1.95,109.26,0.4
B038253,1.43,0.96,123.41,0.35
B038254,3.49,1.18,54.06,0.33
B038255,3.58,1.32,124.33,0.12
B038256,3.29,1.6,93.38,0.17
B038257,3.87,1.22,161.12,0.16
B038258,1.46,1.47,123.16,0.3
B038259,4.33,1.92,92.68,0.39
B038260,4.74,0.62,56.42,0.33
B038261,4.23,0.76,56.21,0.26
B038262,3.11,1.06,69.5,0.18
B038263,2.74,1.04,166.24,0.17
B038264,2.65,1.82,67.11,0.38
B038265,1.17,1.5,180.31,0.17
B038266,4.6,0.56,55.03,0.39
B038267,1.91,1.84,80.03,0.49
B038268,4.53,1.94,154.62,0.24
B038269,3.36,0.67,119.8,0.29
B038270,4.78,1.22,98.31,0.22
B038271,4.5,1.23,77.65,0.28
B038272,1.37,1.03,136.8,0.25
B038273,1.06,1.84,130.68,0.18
B038274,2.11,1.16,174.34,0.19
B038275,1.22,0.6,148.37,0.49
B038276,3.96,0.71,68.01,0.49
B038277,2.3,0.69,89.94,0.23
B038278,4.65,0.66,159.69,0.11
B038279,3.42,0.56,113.55,0.17
B038280,1.36,0.63,116.82,0.25
B038281,3.45,0.7,94.81,0.4
B038282,2.17,1.05,125.63,0.13
B038283,1.34,1.13,192.6,0.38
B038284,1.32,0.55,95.91,0.24
B038285,1.64,1.56,158.98,0.15
B038286,1.36,1.23,194.16,0.29
B038287,1.94,1.53,96.16,0.19
B038288,3.42,0.72,115.26,0.46
B038289,4.13,1.58,136.03,0.32
B038290,2.11,1.34,50.7,0.34
B038291,4.91,0.57,117.98,0.39
B038292,1.0,1.75,65.4,0.2
B038293,4.79,1.82,59.82,0.32
B038294,1.25,0.99,113.95,0.28
B038295,4.35,1.92,57.54,0.45
B038296,1.46,1.79,142.13,0.41
B038297,2.49,1.56,163.61,0.42
B038298,2.32,0.63,67.31,0.42
B038299,1.32,1.23,174.54,0.39
B038300,2.29,1.0,192.43,0.4
B038301,3.0,0.7,181.48,0.42
B038302,2.25,1.95,62.59,0.26
B038303,1.12,1.48,143.01,0.45
B038304,4.24,0.61,117.96,0.42
B038305,4.24,0.78,55.36,0.28
B038306,1.46,0.78,174.25,0.29
B038307,3.54,1.26,154.03,0.23
B038308,1.59,1.81,198.68,0.22
B038309,1.55,0.61,174.7,0.47
B038310,4.03,0.72,131.47,0.26
B038311,2.22,0.5,197.36,0.31
B038312,2.03,1.23,117.89,0.38
B038313,3.28,1.65,87.17,0.42
B038314,2.85,1.04,195.97,0.16
B038315,1.33,1.69,115.82,0.31
B038316,2.61,0.83,196.35,0.38
B038317,2.66,0.51,62.63,0.4
B038318,2.18,0.98,188.78,0.16
B038319,3.93,0.63,127.3,0.2
B038320,2.09,1.01,82.56,0.47
B038321,4.35,0.69,83.95,0.1
B038322,3.16,1.76,196.77,0.37
B038323,4.35,1.4,192.53,0.37
B038324,3.37,0.54,100.36,0.11
B038325,1.21,1.51,73.48,0.49
B038326,2.07,1.36,154.75,0.31
B038327,3.4,0.84,57.32,0.45
B038328,3.12,1.56,193.25,0.49
B038329,3.61,1.58,129.77,0.39
B038330,2.95,0.87,161.01,0.29
B038331,4.54,1.98,58.14,0.28
B038332,3.08,0.54,184.4,0.38
B038333,1.58,0.93,159.37,0.43
B038334,4.9,0.96,94.55,0.14
B038335,1.88,1.83,129.82,0.47
B038336,1.84,2.0,111.3,0.15
B038337,1.85,0.79,58.86,0.32
B038338,1.72,1.81,126.15,0.36
B038339,3.97,1.29,70.36,0.29
B038340,2.6,1.26,62.9,0.27
B038341,2.28,1.73,139.57,0.4
B038342,1.45,0.5,128.36,0.26
B038343,3.47,1.55,130.61,0.46
B038344,2.65,0.63,90.77,0.33
B038345,2.18,1.51,147.92,0.22
B038346,3.65,0.62,60.84,0.18
B038347,3.9,1.11,82.36,0.1
B038348,4.39,1.45,119.24,0.36
B038349,1.69,1.06,196.24,0.28
B038350,3.44,1.44,85.24,0.12
B038351,1.11,1.58,123.51,0.35
B038352,1.69,1.7,161.73,0.43
B038353,3.47,1.45,166.68,0.45
B038354,4.48,1.6,155.91,0.18
B038355,2.08,0.63,121.49,0.38
B038356,4.16,1.68,74.33,0.33
B038357,4.49,1.33,121.13,0.15
B038358,3.13,0.5,93.77,0.13
B038359,1.58,1.4,129.11,0.12
B038360,3.06,1.72,77.71,0.48
B038361,1.12,0.93,176.19,0.29
B038362,4.26,1.39,150.29,0.27
B038363,1.81,0.59,174.95,0.26
B038364,1.26,1.61,90.43,0.34
B038365,2.96,0.82,188.84,0.16
B038366,2.54,0.77,72.63,0.2
B038367,4.74,1.51,94.32,0.17
B038368,4.15,1.67,149.75,0.44
B038369,1.63,1.16,167.42,0.27
B038370,1.99,0.9,141.68,0.25
B038371,2.56,0.5,71.95,0.41
B038372,2.24,1.8,75.97,0.21
B038373,4.26,1.35,110.08,0.19
B038374,4.13,0.51,157.87,0.4
B038375,3.98,0.73,75.1,0.18
B038376,2.42,1.32,181.3,0.49
B038377,3.9,0.85,71.31,0.12
B038378,1.58,0.69,95.39,0.35
B038379,4.51,1.99,124.92,0.28
B038380,1.9,0.9,99.86,0.35
B038381,1.09,0.67,57.86,0.45
B038382,2.13,1.19,86.39,0.3
B038383,3.82,1.78,176.41,0.4
B038384,4.17,1.82,111.57,0.4
B038385,3.11,0.64,160.68,0.49
B038386,4.34,0.84,127.82,0.23
B038387,3.83,1.79,106.7,0.34
B038388,4.31,1.13,173.49,0.18
B038389,4.02,1.97,165.28,0.45
B038390,4.44,1.44,183.27,0.23
B038391,1.98,1.5,72.56,0.46
B038392,2.29,1.42,52.16,0.13
B038393,1.68,1.85,180.65,0.24
B038394,2.49,0.98,141.57,0.2
B038395,2.72,1.31,63.18,0.48
B038396,3.82,1.11,60.57,0.5
B038397,4.54,1.48,127.36,0.28
B038398,4.61,0.86,183.79,0.32
B038399,4.5,0.68,148.81,0.41
B038400,2.67,1.95,70.08,0.34
B038401,1.78,1.17,163.48,0.18
B038402,2.81,0.7,86.41,0.14
B038403,4.97,0.64,193.94,0.38
B038404,2.72,1.14,67.33,0.14
B038405,4.48,0.73,76.54,0.19
B038406,3.6,1.39,194.94,0.21
B038407,1.25,1.75,94.73,0.5
B038408,3.25,0.53,144.24,0.33
B038409,3.69,1.92,81.27,0.5
B038410,1.62,1.23,112.63,0.31
B038411,4.84,1.36,61.07,0.38
B038412,1.63,0.92,57.79,0.49
B038413,1.18,0.79,63.82,0.3
B038414,3.07,1.03,186.14,0.34
B038415,1.81,0.74,57.86,0.45
B038416,2.19,1.19,113.61,0.13
B038417,4.1,0.74,58.13,0.46
B038418,1.53,1.76,69.96,0.1
B038419,1.24,1.12,52.06,0.14
B038420,3.55,0.53,59.62,0.16
B038421,2.83,1.81,136.55,0.12
B038422,4.74,0.99,142.62,0.25
B038423,3.02,1.29,181.78,0.43
B038424,3.96,1.55,170.4,0.25
B038425,4.35,1.25,181.78,0.48
B038426,3.14,1.4,73.83,0.3
B038427,1.79,0.53,184.3,0.11
B038428,4.74,1.93,166.85,0.19
B038429,4.51,1.19,51.02,0.3
B038430,3.35,0.62,80.66,0.34
B038431,1.64,0.96,107.8,0.46
B038432,3.55,1.73,181.39,0.39
B038433,4.07,0.51,85.54,0.22
B038434,4.98,1.13,189.81,0.22
B038435,2.63,0.95,134.57,0.36
B038436,3.37,1.7,71.7,0.42
B038437,4.5,0.83,178.26,0.48
B038438,2.66,1.88,175.94,0.2
B038439,1.65,1.63,120.49,0.45
B038440,1.27,1.54,95.01,0.33
B038441,4.79,0.63,135.4,0.12
B038442,3.5,1.94,81.54,0.21
B038443,2.31,1.16,60.83,0.39
B038444,3.58,1.84,81.97,0.41
B038445,1.28,0.68,191.26,0.28
B038446,3.25,0.61,127.82,0.41
B038447,4.63,1.29,59.37,0.47
B038448,4.92,1.85,140.4,0.32
B038449,1.81,1.16,188.06,0.17
B038450,3.81,0.74,160.95,0.44
B038451,4.94,1.75,105.68,0.48
B038452,1.9,1.4,189.96,0.12
B038453,1.84,1.45,118.93,0.32
B038454,1.32,0.93,72.31,0.33
B038455,3.62,1.62,88.31,0.35
B038456,2.78,1.96,124.26,0.33
B038457,3.49,1.25,102.63,0.23
B038458,2.81,0.65,198.72,0.19
B038459,2.89,1.93,143.61,0.43
B038460,4.25,1.74,181.62,0.27
B038461,4.2,0.94,93.18,0.17
B038462,1.87,1.85,122.45,0.2
B038463,4.39,1.55,135.02,0.14
B038464,4.8,1.66,72.53,0.3
B038465,4.16,0.59,103.19,0.13
B038466,3.32,1.38,99.4,0.46
B038467,3.61,1.92,52.43,0.16
B038468,2.49,1.2,75.8,0.4
B038469,2.35,1.57,198.48,0.13
B038470,4.09,0.97,161.11,0.13
B038471,3.71,1.2,123.74,0.12
B038472,1.12,1.64,112.91,0.39
B038473,3.41,1.47,56.1,0.35
B038474,2.75,1.37,111.72,0.27
B038475,3.96,1.73,179.98,0.27
B038476,1.11,1.08,142.21,0.39
B038477,1.26,0.8,140.55,0.28
B038478,2.06,1.46,63.37,0.16
B038479,3.38,1.3,118.79,0.4
B038480,1.17,1.67,122.46,0.36
B038481,1.32,1.75,154.28,0.49
B038482,1.72,1.31,75.09,0.46
B038483,3.76,0.58,175.99,0.44
B038484,2.47,1.11,123.13,0.2
B038485,1.75,0.66,199.84,0.14
B038486,3.84,1.29,88.77,0.46
B038487,4.4,0.97,194.48,0.23
B038488,4.09,1.93,59.54,0.11
B038489,1.53,0.52,82.08,0.38
B038490,2.57,1.47,191.53,0.43
B038491,3.87,1.4,153.17,0.26
B038492,1.06,1.82,199.72,0.34
B038493,1.33,1.35,85.92,0.21
B038494,3.12,1.02,123.15,0.17
B038495,4.11,1.52,145.94,0.48
B038496,2.25,1.41,93.02,0.15
B038497,1.54,1.11,148.91,0.27
B038498,4.93,0.58,152.23,0.17
B038499,3.15,0.67,80.2,0.21
B038500,3.63,0.82,71.67,0.25
B038501,2.99,0.65,55.57,0.27
B038502,2.67,1.58,161.38,0.19
B038503,1.83,1.4,157.74,0.15
B038504,3.55,1.49,57.83,0.45
B038505,4.47,1.38,152.57,0.29
B038506,3.29,1.57,73.5,0.17
B038507,3.94,1.35,50.08,0.42
B038508,1.11,1.94,108.08,0.16
B038509,4.43,1.54,67.07,0.47
B038510,4.91,1.14,73.18,0.38
B038511,2.1,1.18,188.91,0.19
B038512,1.92,1.78,175.93,0.37
B038513,4.59,1.73,108.29,0.33
B038514,3.86,1.18,149.74,0.43
B038515,4.41,0.75,67.79,0.16
B038516,3.86,1.55,163.05,0.34
B038517,4.77,1.22,113.6,0.37
B038518,4.87,1.19,164.88,0.12
B038519,4.76,1.52,124.86,0.32
B038520,3.37,1.45,182.51,0.2
B038521,3.11,0.58,110.37,0.48
B038522,2.72,1.35,62.92,0.2
B038523,3.62,1.52,158.34,0.12
B038524,1.68,0.8,175.14,0.14
B038525,1.08,1.08,115.71,0.37
B038526,1.95,1.12,161.85,0.47
B038527,1.44,1.45,139.0,0.24
B038528,2.22,1.61,155.21,0.24
B038529,4.68,1.01,83.72,0.4
B038530,2.25,1.63,91.63,0.12
B038531,2.64,0.53,95.89,0.32
B038532,3.66,1.45,115.92,0.38
B038533,1.5,1.7,194.86,0.39
B038534,3.14,0.67,138.11,0.43
B038535,1.83,0.62,94.59,0.12
B038536,3.84,1.79,123.93,0.36
B038537,3.74,1.73,144.3,0.16
B038538,1.2,1.06,126.5,0.27
B038539,4.56,1.34,108.66,0.34
B038540,4.65,1.83,86.86,0.34
B038541,4.39,0.67,112.28,0.43
B038542,1.56,1.83,171.81,0.18
B038543,1.39,1.48,127.3,0.26
B038544,3.17,1.47,162.67,0.3
B038545,2.04,1.96,191.1,0.19
B038546,1.82,1.72,76.9,0.39
B038547,3.25,1.15,171.14,0.18
B038548,4.43,0.96,77.22,0.31
B038549,2.8,0.63,121.6,0.12
B038550,2.51,1.43,169.82,0.2
B038551,2.22,0.85,132.78,0.38
B038552,2.2,0.5,96.49,0.33
B038553,4.05,1.17,89.86,0.14
B038554,1.86,0.92,181.37,0.45
B038555,2.78,1.14,51.91,0.19
B038556,3.02,0.51,152.09,0.41
B038557,2.43,1.14,186.32,0.19
B038558,1.3,1.53,180.5,0.14
B038559,1.33,0.56,87.28,0.35
B038560,2.35,0.93,188.22,0.18
B038561,3.41,0.68,159.81,0.45
B038562,4.35,1.44,78.42,0.21
B038563,4.51,1.55,141.72,0.28
B038564,4.55,1.0,76.17,0.3
B038565,3.98,1.31,88.88,0.15
B038566,4.29,1.21,185.14,0.25
B038567,2.84,0.87,112.24,0.22
B038568,1.9,0.72,60.58,0.22
B038569,2.27,1.72,99.56,0.16
B038570,3.52,0.84,111.8,0.37
B038571,2.18,1.14,63.0,0.47
B038572,2.84,1.35,138.69,0.47
B038573,1.21,1.43,170.32,0.38
B038574,4.83,0.91,106.82,0.23
B038575,1.5,0.68,185.34,0.39
B038576,4.3,1.3,82.0,0.27
B038577,4.61,1.03,177.96,0.47
B038578,4.38,1.42,67.12,0.49
B038579,4.16,1.11,52.31,0.21
B038580,1.58,0.92,102.5,0.48
B038581,4.98,0.79,195.42,0.39
B038582,4.31,0.98,102.83,0.45
B038583,2.09,1.89,70.15,0.49
B038584,1.38,1.34,53.84,0.28
B038585,3.02,0.99,109.45,0.17
B038586,1.37,1.61,110.36,0.45
B038587,4.69,0.65,152.23,0.22
B038588,3.41,1.53,108.26,0.49
B038589,2.58,0.79,117.38,0.29
B038590,1.52,0.78,74.47,0.39
B038591,3.14,1.73,142.51,0.41
B038592,1.33,0.99,190.22,0.21
B038593,4.29,1.87,183.49,0.21
B038594,2.83,0.52,135.9,0.45
B038595,3.55,0.92,182.36,0.23
B038596,4.71,1.6,65.58,0.44
B038597,3.73,1.89,64.67,0.21
B038598,1.57,1.33,102.44,0.23
B038599,2.57,0.81,78.78,0.26
B038600,3.48,1.26,193.93,0.4
B038601,3.63,1.55,57.18,0.46
B038602,4.47,0.79,183.06,0.44
B038603,4.82,1.5,113.96,0.11
B038604,3.21,1.39,142.99,0.4
B038605,3.55,1.17,135.25,0.17
B038606,1.35,0.76,130.99,0.39
B038607,3.32,1.09,176.55,0.4
B038608,3.64,1.35,120.3,0.49
B038609,2.14,1.53,178.33,0.43
B038610,1.52,0.91,169.1,0.29
B038611,4.0,1.45,145.42,0.33
B038612,2.33,0.73,76.51,0.27
B038613,4.13,1.47,103.62,0.39
B038614,3.41,0.96,175.75,0.4
B038615,3.42,1.53,109.03,0.31
B038616,1.16,1.32,132.67,0.42
B038617,3.37,1.34,65.62,0.37
B038618,3.39,1.58,188.11,0.5
B038619,2.59,0.99,108.63,0.24
B038620,1.38,1.57,196.35,0.29
B038621,3.87,0.93,125.09,0.34
B038622,3.49,1.16,91.2,0.22
B038623,3.83,1.91,163.86,0.17
B038624,4.96,0.64,77.47,0.33
B038625,4.22,1.3,167.04,0.2
B038626,3.2,1.17,57.82,0.36
B038627,2.3,1.24,111.07,0.32
B038628,3.68,0.61,196.79,0.47
B038629,2.32,1.79,104.61,0.11
B038630,3.17,1.71,125.29,0.14
B038631,2.91,1.65,63.49,0.3
B038632,3.06,1.27,184.76,0.33
B038633,3.29,1.17,177.63,0.27
B038634,2.32,1.72,182.67,0.39
B038635,1.25,1.28,59.22,0.15
B038636,1.72,1.01,65.13,0.43
B038637,4.51,0.67,130.57,0.28
B038638,1.87,0.65,63.43,0.13
B038639,4.87,0.71,57.53,0.11
B038640,4.58,0.53,90.51,0.43
B038641,3.69,1.19,135.7,0.45
B038642,2.82,1.68,118.56,0.28
B038643,4.5,1.52,174.56,0.42
B038644,3.55,1.87,189.17,0.18
B038645,3.55,0.99,134.14,0.27
B038646,1.44,1.85,101.83,0.24
B038647,2.0,0.94,56.13,0.42
B038648,2.63,1.91,55.6,0.33
B038649,4.45,1.91,170.15,0.19
B038650,2.31,1.38,151.63,0.41
B038651,2.98,1.96,141.83,0.5
B038652,3.54,1.01,134.19,0.29
B038653,3.03,0.57,174.76,0.34
B038654,2.77,1.93,74.69,0.14
B038655,3.83,1.35,127.04,0.34
B038656,4.3,0.82,131.53,0.44
B038657,4.36,0.72,139.17,0.11
B038658,4.8,1.31,179.55,0.47
B038659,2.37,1.86,66.07,0.27
B038660,4.87,1.76,114.55,0.32
B038661,2.18,1.72,107.62,0.22
B038662,4.37,0.58,131.41,0.25
B038663,1.39,1.93,141.62,0.29
B038664,2.67,0.89,167.05,0.35
B038665,3.93,0.7,180.77,0.5
B038666,4.47,1.77,67.72,0.39
B038667,1.53,1.24,78.22,0.38
B038668,1.21,1.35,62.26,0.31
B038669,3.54,1.42,177.31,0.2
B038670,3.54,0.96,105.77,0.39
B038671,1.84,1.47,166.91,0.2
B038672,2.31,0.79,129.78,0.31
B038673,3.67,1.01,156.76,0.3
B038674,2.56,1.41,155.34,0.44
B038675,1.18,1.84,196.12,0.48
B038676,3.6,1.38,185.48,0.47
B038677,2.67,1.29,133.27,0.39
B038678,3.85,1.29,182.17,0.42
B038679,2.53,1.15,171.36,0.42
B038680,4.59,0.51,87.65,0.2
B038681,4.68,1.15,52.01,0.3
B038682,2.29,0.75,166.19,0.43
B038683,4.55,1.68,78.41,0.39
B038684,4.59,1.92,178.56,0.26
B038685,1.73,1.36,53.79,0.14
B038686,3.4,1.17,158.9,0.15
B038687,4.3,1.03,57.76,0.24
B038688,4.32,0.52,159.74,0.49
B038689,3.4,1.44,154.87,0.42
B038690,2.08,0.97,82.12,0.47
B038691,1.07,1.59,125.87,0.49
B038692,4.47,0.67,66.31,0.1
B038693,3.38,1.76,186.98,0.31
B038694,2.58,1.18,144.78,0.45
B038695,4.93,1.13,87.28,0.33
B038696,2.99,1.68,186.4,0.44
B038697,1.48,1.89,117.93,0.44
B038698,4.27,1.42,165.0,0.21
B038699,3.72,1.42,168.9,0.18
B038700,4.74,1.58,121.48,0.2
B038701,2.19,1.3,172.35,0.45
B038702,2.51,1.21,102.26,0.37
B038703,4.43,1.85,169.95,0.12
B038704,1.07,1.33,198.43,0.49
B038705,2.93,1.07,92.39,0.28
B038706,2.48,0.74,154.05,0.36
B038707,3.03,1.36,191.36,0.32
B038708,2.72,1.22,91.83,0.12
B038709,4.49,1.73,175.44,0.15
B038710,4.72,0.73,108.18,0.31
B038711,3.09,1.12,95.22,0.49
B038712,3.04,1.61,139.79,0.31
B038713,4.01,1.14,130.28,0.42
B038714,4.24,1.45,144.51,0.46
B038715,3.38,1.31,63.33,0.28
B038716,4.68,1.75,80.67,0.46
B038717,4.18,0.68,63.62,0.18
B038718,3.22,1.25,113.9,0.3
B038719,1.4,1.6,101.61,0.44
B038720,2.11,1.77,188.67,0.49
B038721,4.69,1.76,145.7,0.15
B038722,4.71,1.42,109.6,0.18
B038723,1.75,1.43,77.63,0.39
B038724,2.15,1.56,133.2,0.28
B038725,4.86,1.35,119.8,0.36
B038726,4.23,1.09,161.93,0.16
B038727,1.51,1.46,180.93,0.18
B038728,4.81,1.4,145.36,0.16
B038729,1.92,0.92,147.91,0.15
B038730,3.2,0.81,154.76,0.47
B038731,1.5,1.92,148.62,0.38
B038732,2.31,1.43,91.93,0.42
B038733,2.21,1.52,109.76,0.29
B038734,1.48,1.86,85.37,0.15
B038735,2.96,1.98,80.12,0.38
B038736,1.43,1.46,175.77,0.14
B038737,4.17,1.5,99.86,0.38
B038738,4.05,0.9,198.36,0.45
B038739,3.44,1.28,188.76,0.49
B038740,1.61,1.48,58.51,0.2
B038741,3.4,1.65,110.77,0.45
B038742,1.63,1.87,153.9,0.12
B038743,1.62,1.05,65.51,0.22
B038744,4.25,1.13,100.25,0.2
B038745,2.73,0.59,138.8,0.12
B038746,1.0,0.85,190.41,0.3
B038747,4.27,0.97,74.79,0.3
B038748,3.47,1.49,54.95,0.16
B038749,2.18,1.64,190.16,0.45
B038750,4.39,0.69,85.84,0.43
B038751,3.26,1.8,52.66,0.18
B038752,3.14,1.01,118.0,0.49
B038753,2.68,1.62,77.75,0.11
B038754,2.76,1.66,155.21,0.12
B038755,4.09,1.83,97.3,0.31
B038756,2.65,1.34,113.52,0.38
B038757,1.65,1.73,181.77,0.38
B038758,3.97,0.74,59.1,0.38
B038759,2.86,1.32,122.71,0.31
B038760,3.04,1.57,74.81,0.41
B038761,4.65,1.48,69.04,0.11
B038762,4.37,1.69,141.96,0.22
B038763,4.15,1.59,126.1,0.21
B038764,3.4,1.8,110.47,0.41
B038765,4.25,0.66,75.44,0.28
B038766,3.09,1.19,194.13,0.13
B038767,3.2,1.16,162.07,0.42
B038768,1.27,1.44,79.54,0.26
B038769,4.88,1.58,134.51,0.22
B038770,1.47,0.62,105.22,0.11
B038771,1.14,1.89,129.35,0.41
B038772,2.7,0.83,75.36,0.22
B038773,1.99,0.53,59.96,0.49
B038774,3.29,1.78,67.31,0.31
B038775,1.71,1.24,116.41,0.35
B038776,1.02,0.98,144.81,0.14
B038777,3.89,0.95,106.18,0.42
B038778,4.25,1.17,131.9,0.28
B038779,1.13,0.54,103.78,0.22
B038780,3.47,0.79,98.3,0.28
B038781,1.39,1.91,178.39,0.41
B038782,4.81,1.63,154.79,0.5
B038783,1.26,1.35,130.57,0.43
B038784,1.5,0.55,139.88,0.11
B038785,4.37,1.12,109.64,0.33
B038786,3.03,1.05,100.34,0.25
B038787,1.72,1.2,96.05,0.44
B038788,4.14,0.91,141.56,0.42
B038789,2.4,1.16,135.18,0.17
B038790,3.58,0.96,165.58,0.31
B038791,4.03,0.9,117.15,0.23
B038792,2.18,0.58,102.73,0.2
B038793,4.6,1.45,133.6,0.18
B038794,1.2,1.8,120.35,0.15
B038795,4.94,0.81,139.15,0.36
B038796,1.85,1.57,141.86,0.45
B038797,2.71,1.34,135.69,0.27
B038798,2.44,1.37,197.15,0.26
B038799,1.65,1.18,158.85,0.34
B038800,5.0,0.96,115.34,0.11
B038801,1.19,1.38,123.55,0.34
B038802,4.02,1.29,115.47,0.49
B038803,2.09,1.21,66.84,0.47
B038804,1.25,0.96,174.54,0.18
B038805,2.93,1.11,92.71,0.3
